iter	Passed	Remaining
0	9	5803
1	20	6177
2	30	6029
3	39	5858
4	46	5495
5	52	5186
6	58	4924
7	63	4695
8	69	4533
9	74	4410
10	79	4272
11	84	4138
12	89	4052
13	94	3967
14	99	3885
15	104	3821
16	109	3764
17	115	3720
18	120	3678
19	125	3630
20	130	3592
21	135	3547
22	139	3504
23	144	3456
24	148	3410
25	152	3369
26	156	3329
27	161	3300
28	166	3274
29	171	3251
30	175	3230
31	180	3199
32	184	3173
33	189	3153
34	193	3128
35	198	3105
36	202	3084
37	207	3062
38	211	3039
39	215	3020
40	220	3002
41	224	2986
42	229	2972
43	234	2959
44	239	2950
45	243	2936
46	248	2926
47	253	2915
48	258	2903
49	262	2889
50	267	2875
51	271	2863
52	276	2848
53	280	2835
54	285	2825
55	289	2814
56	294	2803
57	298	2789
58	303	2778
59	307	2769
60	312	2758
61	316	2749
62	322	2748
63	327	2741
64	331	2730
65	336	2721
66	340	2712
67	345	2703
68	350	2695
69	354	2685
70	359	2675
71	364	2672
72	369	2668
73	374	2663
74	379	2657
75	384	2651
76	390	2650
77	395	2645
78	400	2641
79	406	2639
80	411	2634
81	416	2629
82	421	2624
83	426	2621
84	432	2618
85	437	2614
86	442	2609
87	447	2602
88	452	2595
89	456	2586
90	461	2582
91	467	2579
92	471	2572
93	477	2567
94	482	2563
95	487	2560
96	492	2553
97	497	2547
98	502	2541
99	507	2535
100	512	2529
101	516	2522
102	521	2518
103	527	2513
104	532	2508
105	537	2503
106	542	2498
107	547	2493
108	552	2487
109	557	2481
110	561	2474
111	566	2469
112	572	2466
113	577	2462
114	582	2457
115	587	2450
116	592	2443
117	596	2438
118	601	2432
119	607	2428
120	612	2424
121	617	2418
122	622	2413
123	627	2408
124	632	2402
125	636	2395
126	641	2390
127	646	2383
128	651	2377
129	655	2371
130	660	2365
131	665	2358
132	670	2354
133	675	2349
134	681	2345
135	685	2340
136	690	2334
137	695	2329
138	700	2324
139	705	2318
140	711	2314
141	716	2311
142	721	2306
143	726	2301
144	731	2296
145	737	2292
146	742	2288
147	747	2282
148	752	2277
149	757	2271
150	761	2264
151	766	2258
152	771	2253
153	775	2246
154	780	2240
155	785	2235
156	790	2230
157	795	2225
158	800	2219
159	805	2214
160	810	2209
161	815	2203
162	819	2198
163	824	2192
164	829	2186
165	834	2181
166	839	2176
167	844	2172
168	850	2168
169	855	2164
170	860	2159
171	865	2154
172	870	2148
173	875	2142
174	880	2137
175	885	2132
176	890	2127
177	894	2121
178	899	2116
179	905	2111
180	909	2106
181	914	2100
182	919	2094
183	924	2090
184	929	2085
185	934	2080
186	939	2075
187	944	2070
188	949	2064
189	954	2059
190	958	2053
191	964	2048
192	968	2042
193	973	2037
194	978	2031
195	983	2026
196	988	2021
197	993	2017
198	998	2012
199	1003	2007
200	1008	2002
201	1013	1996
202	1017	1990
203	1023	1986
204	1028	1982
205	1033	1976
206	1038	1971
207	1042	1965
208	1047	1959
209	1052	1954
210	1057	1948
211	1062	1944
212	1066	1938
213	1071	1932
214	1076	1927
215	1080	1921
216	1085	1916
217	1090	1911
218	1096	1906
219	1100	1901
220	1105	1896
221	1110	1891
222	1115	1886
223	1120	1880
224	1124	1874
225	1129	1869
226	1135	1865
227	1140	1860
228	1145	1855
229	1149	1849
230	1154	1843
231	1159	1838
232	1164	1834
233	1169	1829
234	1174	1824
235	1179	1819
236	1183	1813
237	1188	1807
238	1193	1802
239	1197	1796
240	1202	1790
241	1206	1785
242	1211	1779
243	1215	1773
244	1220	1768
245	1225	1763
246	1231	1759
247	1236	1754
248	1241	1749
249	1245	1743
250	1249	1737
